Accession_OD,Pvalue_OD
Q9NUQ6,0.667279604
Q9NUQ9,0.144422986
Q9NY15,0.305571587
Q9NY33,0.528280715
Q9NY47,0.357988835
Q9NY65,0.676362564
Q9NY97,0.51745692
Q9NYH9,0.144422986
Q9NZ08,0.662522434
Q9NZH8,0.274224549
Q9NZK5,0.766212045
Q9NZN3,0.436427189
Q9NZP8,0.915319523
Q9NZT1,0.467104484
Q9P121,0.333249116
Q9P232,0.754644588
Q9P2Y5,0.274224549
Q9UBG0,0.647292285
Q9UBP4,0.480909357
Q9UBQ6,0.538530047
Q9UBR2,0.63624677
Q9UBW5,0.538530047
Q9UBX1,0.419266655
Q9UBX5,0.195763682
Q9UEW3,0.357988835
Q9UGM3,0.144422986
Q9UGM5,0.869227027
Q9UGN4,0.144422986
Q9UGT4,0.195763682
Q9UHB6,0.079407963
Q9UHG3,0.80310139
Q9UHJ6,0.144422986
Q9UHL4,0.238155547
Q9UI42,0.333249116
Q9UIB8,0.419266655
Q9UJ14,0.333249116
Q9UJA9,0.144422986
Q9UJC5,0.144422986
Q9UJJ9,0.557501863
Q9UJU6,0.144422986
Q9UK23,0.452320533
Q9UK55,0.890339663
Q9UKJ1,0.195763682
Q9UKU6,0.528280715
Q9UKY3,0.195763682
Q9ULC0,0.144422986
Q9ULI3,0.676362564
Q9ULV4,0.652537546
Q9UM47,0.305571587
Q9UMX5,0.305571587
Q9UN70,0.079407963
Q9UNN8,0.707861202
Q9UNW1,0.711339462
Q9UNZ2,0.079407963
Q9UQ52,0.305571587
Q9UQP3,0.380321525
Q9UQV4,0.144422986
Q9Y274,0.274224549
Q9Y275,0.144422986
Q9Y279,0.419266655
Q9Y2B0,0.144422986
Q9Y2E5,0.305571587
Q9Y2P5,0.305571587
Q9Y2X7,0.144422986
Q9Y3B8,0.079407963
Q9Y490,0.955667211
Q9Y4C0,0.079407963
Q9Y4D7,0.305571587
Q9Y4F1,0.274224549
Q9Y4L1,0.689010301
Q9Y520,0.079407963
Q9Y547,0.144422986
Q9Y5C1,0.707861202
Q9Y5F6,0.195763682
Q9Y5Y7,0.831010659
Q9Y5Z4,0.238155547
Q9Y646,0.480909357
Q9Y696,0.333249116
Q9Y6E2,0.079407963
Q9Y6N7,0.436427189
Q9Y6R7,0.947364434
Q9Y6Z7,0.538530047
O14523,0.079407963
O60941,0.079407963
P01762,0.877069398
P02533,0.938183037
P02538,0.903935347
P04259,0.91407467
P04264,0.980376514
P04279,0.806150831
P07288,0.144422986
P07327,0.506000452
P08263,0.238155547
P08319,0.144422986
P08779,0.935476692
P0DMU7,0.079407963
P13645,0.97187052
P13646,0.840703619
P13647,0.925435461
P13929,0.380321525
P19012,0.870599703
P19013,0.684916339
P21817,0.305571587
P35527,0.971333364
P35609,0.858776209
P35908,0.970253623
P51689,0.195763682
P58166,0.195763682
P59190,0.274224549
P68363,0.799953573
P78386,0.144422986
Q02383,0.847519241
Q04695,0.876450362
Q12986,0.079407963
Q16777,0.144422986
Q4LDE5,0.357988835
Q5JXB2,0.195763682
Q5T749,0.274224549
Q6EEV6,0.079407963
Q6IS14,0.400645254
Q6KB66,0.357988835
Q6NUJ1,0.079407963
Q6ZN84,0.079407963
Q6ZNG0,0.305571587
Q7L2R6,0.238155547
Q7L7V1,0.195763682
Q7RTS7,0.704291239
Q7Z794,0.866396254
Q86X29,0.079407963
Q8IZP2,0.144422986
Q8N1N4,0.657611226
Q8NI99,0.305571587
Q8TDD5,0.079407963
Q96AC6,0.079407963
Q96DA0,0.195763682
Q99941,0.144422986
Q9BTV5,0.079407963
Q9BUN1,0.195763682
Q9BY27,0.195763682
Q9H2M3,0.079407963
Q9H497,0.079407963
Q9H853,0.611601867
Q9NSB2,0.604825693
Q9P281,0.195763682
Q9P2D8,0.079407963
