Accession_OD,Pvalue_OD
P04114,0.999667732
P04156,0.195763682
P04179,0.63624677
P04180,0.782546433
P04196,0.974800331
P04211,0.436427189
P04217,0.984810212
P04275,0.964955475
P04278,0.875825363
P04406,0.741813184
P04424,0.195763682
P04430,0.380321525
P04433,0.566307926
P04439,0.590413114
P04440,0.238155547
P04626,0.195763682
P04632,0.079407963
P04745,0.721260701
P04746,0.721260701
P04792,0.493844038
P05019,0.144422986
P05060,0.144422986
P05062,0.741813184
P05067,0.528280715
P05089,0.493844038
P05090,0.919145885
P05106,0.51745692
P05109,0.757052554
P05121,0.357988835
P05154,0.912143095
P05155,0.992865588
P05156,0.964891215
P05160,0.964170736
P05164,0.333249116
P05186,0.467104484
P05362,0.75218622
P05451,0.557501863
P05452,0.902759376
P05543,0.969712446
P05546,0.992609557
P05556,0.741813184
P05981,0.079407963
P05997,0.079407963
P06239,0.238155547
P06276,0.965772778
P06310,0.749675738
P06312,0.791619235
P06331,0.774683722
P06396,0.986545204
P06454,0.274224549
P06681,0.978055041
P06702,0.79670228
P06703,0.274224549
P06727,0.994057858
P06732,0.274224549
P06733,0.696859923
P06737,0.238155547
P06744,0.718035753
P06753,0.829861448
P06865,0.506000452
P07108,0.079407963
P07148,0.357988835
P07195,0.791619235
P07225,0.930247782
P07237,0.749675738
P07307,0.274224549
P07311,0.079407963
P07333,0.736275502
P07339,0.676362564
P07355,0.582734353
P07357,0.961624416
P07358,0.957074024
P07359,0.829861448
P07360,0.919984252
P07384,0.557501863
P07437,0.671890557
P07451,0.333249116
P07476,0.079407963
P07477,0.63624677
P07478,0.597769477
P07602,0.557501863
P07686,0.597769477
P07711,0.238155547
P07737,0.847519241
P07738,0.618116217
P07858,0.700625565
P07900,0.662522434
P07911,0.647292285
P07942,0.770528618
P07951,0.780634011
P07996,0.93712534
P07998,0.590413114
P08123,0.305571587
P08138,0.079407963
P08174,0.528280715
P08185,0.9490132
P08195,0.754644588
P08236,0.333249116
P08238,0.582734353
P08253,0.652537546
P08294,0.736275502
P08311,0.144422986
P08493,0.305571587
P08514,0.557501863
P08519,0.882386142
P08567,0.700625565
P08571,0.861922462
P08572,0.195763682
P08575,0.51745692
P08581,0.582734353
P08603,0.996761737
P08637,0.689010301
P08648,0.195763682
P08697,0.969861697
P08709,0.782546433
P08758,0.557501863
P08833,0.274224549
P08887,0.357988835
P09104,0.467104484
P09172,0.938870628
P09211,0.557501863
P09326,0.305571587
P09382,0.238155547
P09417,0.333249116
P09467,0.357988835
P09486,0.793342036
P09493,0.79670228
P09496,0.079407963
P09525,0.380321525
P09603,0.079407963
P09619,0.528280715
P09668,0.419266655
P09871,0.987858732
P09960,0.657611226
P09972,0.604825693
P0C0L4,0.998295037
P0C0L5,0.99839757
P0DJD7,0.144422986
P0DJI8,0.80310139
P0DJI9,0.724407809
P0DMV9,0.641865588
P0DOY2,0.94449313
P0DP01,0.676362564
P0DP04,0.859575672
P0DP08,0.761723752
P0DP25,0.597769477
P0DPF2,0.079407963
P0DSN7,0.548255619
P10124,0.652537546
P10153,0.452320533
P10321,0.538530047
P10451,0.452320533
P10586,0.763990039
P10599,0.51745692
P10619,0.333249116
P10643,0.971287814
P10644,0.079407963
P10645,0.480909357
P10646,0.274224549
P10721,0.727480077
P10909,0.986773608
P10912,0.333249116
P11021,0.883508852
P11047,0.657611226
P11142,0.817455445
P11150,0.274224549
P11169,0.079407963
P11216,0.195763682
P11226,0.899065341
P11279,0.582734353
P11362,0.528280715
P11413,0.357988835
P11597,0.597769477
P11717,0.857967902
P11766,0.144422986
P12109,0.696859923
P12110,0.305571587
P12111,0.888319877
P12259,0.963146294
P12273,0.419266655
P12318,0.380321525
P12429,0.51745692
P12814,0.963146294
P12821,0.788084389
P12830,0.680702389
P12883,0.195763682
P12931,0.436427189
P12955,0.878891586
P13224,0.195763682
P13473,0.736275502
P13489,0.436427189
P13591,0.8872835
P13598,0.657611226
P13611,0.380321525
P13667,0.652537546
P13671,0.964369741
P13688,0.557501863
P13693,0.305571587
P13716,0.480909357
P13727,0.436427189
P13796,0.889338444
P13797,0.714729793
P13798,0.467104484
P13987,0.528280715
P14151,0.886228835
P14207,0.305571587
P14209,0.079407963
P14314,0.597769477
P14324,0.238155547
P14384,0.079407963
P14543,0.741813184
P14550,0.357988835
P14618,0.778686771
P14625,0.832144633
P14778,0.274224549
P14780,0.079407963
P14923,0.671890557
P15085,0.467104484
P15086,0.467104484
P15090,0.238155547
P15121,0.380321525
P15144,0.935288718
P15151,0.707861202
P15169,0.956427358
P15289,0.079407963
P15291,0.419266655
P15309,0.452320533
P15509,0.079407963
P15529,0.333249116
P15531,0.582734353
P15586,0.079407963
P15814,0.714729793
P15924,0.809106654
P16035,0.195763682
P16070,0.816115097
P16109,0.799953573
P16112,0.548255619
P16233,0.144422986
P16284,0.467104484
P16444,0.079407963
P16581,0.759411754
P16930,0.739075362
P17050,0.144422986
P17174,0.662522434
P17181,0.079407963
P17301,0.238155547
P17693,0.380321525
P17813,0.597769477
P17900,0.452320533
P17927,0.357988835
P17936,0.84844664
P18065,0.624385303
P18206,0.932346387
P18428,0.851164041
P18669,0.624385303
P18827,0.144422986
P18850,0.333249116
P19021,0.590413114
P19022,0.582734353
P19256,0.467104484
P19320,0.894642061
P19438,0.144422986
P19440,0.238155547
P19652,0.976293372
P19823,0.994323603
P19827,0.993228161
P19961,0.721260701
P19971,0.079407963
P20023,0.604825693
P20036,0.195763682
P20061,0.357988835
P20138,0.144422986
P20142,0.144422986
P20618,0.238155547
P20742,0.981734281
P20774,0.506000452
P20810,0.305571587
P20851,0.75218622
P20908,0.400645254
P20930,0.574708476
P20933,0.51745692
P21291,0.357988835
P21333,0.967538836
P21583,0.079407963
P21709,0.144422986
P21926,0.195763682
P22105,0.933748793
P22303,0.079407963
P22304,0.436427189
P22314,0.400645254
P22352,0.955180261
P22392,0.582734353
P22413,0.079407963
P22455,0.144422986
P22528,0.144422986
P22692,0.493844038
P22735,0.079407963
P22748,0.195763682
P22792,0.961996514
P22891,0.863445399
P22897,0.840703619
P23083,0.618116217
P23141,0.467104484
P23142,0.938008974
P23284,0.557501863
P23381,0.274224549
P23435,0.400645254
P23467,0.333249116
